ts	id	allowed	duration	outcome	gen
2026-08-15 21:12:24	C1	900	6	pass	0
2026-08-15 21:12:27	C2	900	3	pass	0
2026-08-15 21:12:32	C3	900	4	pass	0
2026-08-15 21:12:39	C4	900	7	pass	0
2026-08-15 21:12:40	C5	900	1	pass	0
2026-08-15 21:12:49	C6	900	9	pass
2026-08-16 00:29:44	C1	900	7	pass	1
2026-08-16 00:30:00	C2	900	16	pass	1
2026-08-16 00:30:08	C3	900	8	pass	1
2026-08-16 00:30:29	C4	900	21	pass	1
2026-08-16 00:30:31	C5	900	1	pass	1
2026-08-16 00:30:38	C1	900	7	pass	1
2026-08-16 00:30:54	C2	900	15	pass	1
2026-08-16 00:31:01	C3	900	7	pass	1
2026-08-16 00:31:21	C4	900	19	pass	1
2026-08-16 00:31:22	C5	900	1	pass	1
2026-08-16 00:31:28	D1	900	0	pass	2
2026-08-16 00:31:29	D2	900	1	pass	2
2026-08-16 00:31:29	D1	900	0	pass	2
2026-08-16 00:31:30	D2	900	1	pass	2
